pwd, "It prints the path of the working director"
mkdir, "Allows the user to create directories. This command can create multiple directories at once"
cp, "Used to copy files or group of files or directory"
scp, "Used to copy file(s) between servers in a secure way."
gcc, "GNU Compiler Collections is used to compile mainly C and C++ language. It can also be used to compile Objective C and Objective C++"
kill, "Used to terminate processes manually. kill command sends a signal to a process which terminates the process"
chmod, "Used to change the access mode of a file"
chown, "Used to change the file Owner or group"
echo, "Used to display line of text/string that are passed as an argument"
find, "Used to find files and directories and perform subsequent operations on them"
ls, "It allows users to list files and directories from the Command Line Interface"
rmdir, "Used to remove empty directories from the filesystem in Linux"
mv, "Used to move one or more files or directories from one place to another in file system like UNIX"
man, "Used to display the user manual of any command that we can run on the terminal"
make, "Utility for building and maintaining groups of programs"
top, "Provides a dynamic real-time view of the running system"
cat, "Reads data from file and gives their content as output. It helps us to creat"
df, "Used to display information related to file systems about total space and available space"
exit, "Used to exit the shell where it is currently running"
finger, "It is a user information lookup command which gives details of all the users logged in."
cd, "Known as change directory command. It is used to change current working directory"
rm, "Used to remove objects such as file"
ssh, "Protocol used to securely connect to a remote server/system"
g++, "Used for preprocessin"
ps, "Used to list the currently running processes and their PIDs along with some other information depends on different options"
who, "Used to get information about currently logged in user on to system"
alias, "Instructs the shell to replace one string with another string while executing the commands"
grep, "Searches a file for a particular pattern of character"
clear, "Used to clear the terminal screen"
free, "Displays the total amount of free space available along with the amount of memory used and swap memory in the syste"
